Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2019-10-11;8585.26;8721.78;8316.18;8321.76;19604381101;-0.03083;8302.576172;8536.288504;9509.970879;8676.578695;0.027528;0.016203;0.0;Bull;1;0.57;📈 Up;8310.21;8284.42;618.58;8303.6;10999.51;-0.602;-0.779
2019-10-12;8315.67;8415.24;8313.34;8336.56;14532641605;0.001778;8329.012626;8456.137974;9468.542695;8698.336069;0.027026;0.024615;0.0;Bull;1;0.549;📈 Up;8322.59;7929.65;625.01;8238.0;9906.17;-0.703;-0.056
2019-10-13;8336.9;8470.99;8276.61;8321.01;13808286059;-0.001865;8376.56264;8372.833845;9431.763594;8719.505768;0.027039;0.042789;0.0;Bull;1;0.553;📈 Up;8309.78;7902.86;625.39;8225.13;9902.84;-0.723;0.004
2019-10-14;8320.83;8390.21;8284.13;8374.69;15151387859;0.006451;8395.000279;8308.327288;9396.486973;8741.033665;0.027124;0.017009;0.0;Bull;1;0.544;📈 Up;8349.16;7987.07;619.65;8223.87;10039.75;-0.707;-0.018
2019-10-15;8373.46;8410.71;8182.71;8205.37;15220412632;-0.020218;8391.655413;8288.55599;9353.177949;8761.568638;0.027212;-0.001167;0.0;Bull;1;0.563;📈 Up;8168.47;7851.2;618.6;8046.83;9858.87;-0.601;-0.691
2019-10-16;8204.67;8216.81;7985.09;8047.53;16071646996;-0.019236;8313.339216;8267.629023;9310.418486;8781.272971;0.027298;-0.064997;0.0;Bull;1;0.558;📈 Up;7997.59;7740.34;618.6;7814.57;9551.45;-0.5;-1.142
2019-10-17;8047.81;8134.83;8000.94;8103.91;14313052244;0.007006;8244.401716;8266.91204;9277.408252;8801.265505;0.027421;-0.056913;0.0;Bull;1;0.54;📈 Up;8076.42;7748.97;619.6;7884.4;9300.45;-0.593;-0.553
2019-10-18;8100.93;8138.41;7902.16;7973.21;15651592610;-0.016128;8194.608956;8253.643555;9246.668398;8820.340627;0.02746;-0.042212;0.0;Bull;1;0.557;📈 Up;7931.28;7702.25;618.6;7793.61;9578.81;-0.55;-0.912
2019-10-19;7973.8;8082.63;7944.78;7988.56;13797825640;0.001926;8144.895368;8241.388579;9214.476133;8835.884041;0.027387;-0.042065;0.0;Bull;1;0.545;📈 Up;7971.81;7650.76;618.5;7816.43;9223.69;-0.602;-0.546
2019-10-20;7997.81;8281.82;7949.44;8222.08;15504249442;0.029231;8130.762835;8247.002511;9186.304414;8852.129321;0.028215;-0.010968;0.0;Bull;1;0.524;📈 Up;8232.86;8149.57;619.6;8120.83;10095.59;-0.749;0.231
2019-10-21;8225.12;8296.69;8196.42;8243.72;15868748866;0.002632;8112.053432;8244.614537;9156.019414;8868.733931;0.028209;-0.014787;0.0;Bull;1;0.544;📈 Up;8228.42;8092.58;619.52;8144.38;10057.37;-0.664;-0.334
