Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2020-08-26,11366.89,11530.05,11296.99,11488.36,22466660958,0.0108,11635.23,11735.56,10729.46,9026.96,0.0229,-0.0221
2020-08-27,11485.61,11570.79,11185.94,11323.4,23240415076,-0.0144,11555.95,11713.82,10767.36,9032.99,0.023,-0.0467
2020-08-28,11325.3,11545.62,11316.42,11542.5,19807127588,0.0193,11548.81,11711.01,10812.65,9041.42,0.0231,-0.0033
2020-08-29,11541.05,11585.64,11466.29,11506.87,17485597759,-0.0031,11523.81,11699.24,10857.21,9047.91,0.0231,-0.0141
2020-08-30,11508.71,11715.26,11492.38,11711.51,19760127945,0.0178,11530.48,11700.95,10906.63,9054.84,0.0231,0.0052
2020-08-31,11713.31,11768.88,11598.32,11680.82,22285928250,-0.0026,11517.08,11691.55,10954.72,9062.17,0.022,-0.0069
2020-09-01,11679.32,12067.08,11601.13,11970.48,27311555343,0.0248,11603.42,11718.22,11009.26,9070.46,0.0193,0.0526
2020-09-02,11964.82,11964.82,11290.79,11414.03,28037405299,-0.0465,11592.8,11710.08,11052.67,9078.09,0.021,-0.0046
2020-09-03,11407.19,11443.02,10182.46,10245.3,31927261555,-0.1024,11438.79,11636.8,11073.72,9079.64,0.0282,-0.0927
2020-09-04,10230.37,10663.92,10207.94,10511.81,29965130374,0.026,11291.54,11576.94,11101.31,9083.75,0.0271,-0.086
2020-09-05,10512.53,10581.57,9946.68,10169.57,44916565292,-0.0326,11100.5,11496.17,11121.68,9083.89,0.0276,-0.1155
2020-09-06,10167.22,10353.93,10056.89,10280.35,37071460174,0.0109,10896.05,11419.39,11144.1,9087.12,0.0277,-0.1224
2020-09-07,10281.0,10399.15,9916.49,10369.56,33703098409,0.0087,10708.73,11329.64,11167.78,9090.93,0.0276,-0.1111
2020-09-08,10369.31,10414.78,9945.11,10131.52,33430927462,-0.023,10446.02,11241.08,11187.12,9093.15,0.0278,-0.1588
2020-09-09,10134.15,10350.54,10017.25,10242.35,24128292755,0.0109,10278.64,11168.89,11204.47,9096.05,0.0277,-0.1014
2020-09-10,10242.33,10503.91,10238.14,10363.14,54406443211,0.0118,10295.47,11096.74,11221.23,9098.24,0.027,0.0128
2020-09-11,10369.03,10434.92,10140.84,10400.92,45201121775,0.0036,10279.63,11039.99,11237.63,9102.0,0.0268,-0.0096
2020-09-12,10409.86,10578.84,10292.39,10442.17,36750077324,0.004,10318.57,10980.96,11255.73,9107.5,0.0266,0.027
2020-09-13,10452.4,10577.21,10224.33,10323.76,36506852789,-0.0113,10324.77,10917.1,11268.66,9115.01,0.0266,0.0047
2020-09-14,10328.73,10800.01,10266.01,10680.84,35453581940,0.0346,10369.24,10865.02,11284.18,9124.5,0.0275,0.0306
2020-09-15,10677.75,10938.63,10656.46,10796.95,32509451925,0.0109,10464.3,10837.91,11280.3,9135.12,0.0276,0.0645
2020-09-16,10797.76,11100.12,10704.88,10974.91,30769986455,0.0165,10568.95,10813.46,11281.54,9147.0,0.0271,0.07
2020-09-17,10973.25,11037.42,10774.63,10948.99,38151810523,-0.0024,10652.65,10795.63,11278.51,9158.93,0.0269,0.0559
2020-09-18,10951.82,11034.91,10829.66,10944.59,26341903912,-0.0004,10730.31,10767.16,11275.18,9169.3,0.0267,0.0518
2020-09-19,10933.75,11134.09,10909.62,11094.35,22764204008,0.0137,10823.48,10747.52,11270.6,9180.84,0.0268,0.0615
2020-09-20,11095.87,11095.87,10814.48,10938.27,24699523788,-0.0141,10911.27,10710.7,11254.17,9191.75,0.0265,0.0588
2020-09-21,10934.93,10988.3,10380.26,10462.26,28884999244,-0.0435,10880.04,10652.67,11242.34,9198.67,0.0275,-0.0193
2020-09-22,10459.62,10568.08,10382.73,10538.46,23621787804,0.0073,10843.12,10584.48,11228.18,9205.75,0.0276,-0.0229
2020-09-23,10535.49,10537.83,10197.87,10246.19,23788661867,-0.0277,10739.01,10528.87,11208.99,9212.43,0.0279,-0.0671
2020-09-24,10248.79,10771.06,10231.49,10760.07,47144380902,0.0502,10712.03,10553.38,11189.25,9225.69,0.029,-0.0146
2020-09-25,10761.11,10777.7,10578.91,10692.72,39348590957,-0.0063,10676.04,10562.0,11167.51,9239.53,0.0289,-0.0205
2020-09-26,10695.58,10773.0,10667.28,10750.72,46852525493,0.0054,10626.95,10589.67,11150.5,9253.74,0.0288,-0.0287
2020-09-27,10746.89,10803.98,10622.92,10775.27,53745972818,0.0023,10603.67,10613.24,11130.92,9268.06,0.0286,-0.0124
2020-09-28,10776.61,10945.35,10703.89,10709.65,47762394731,-0.0061,10639.01,10629.43,11111.6,9296.75,0.0286,0.0251
2020-09-29,10709.65,10860.0,10649.5,10844.64,46582396602,0.0126,10682.75,10663.39,11090.93,9323.16,0.0285,0.0304
2020-09-30,10843.87,10847.26,10669.32,10784.49,44171073700,-0.0055,10759.65,10689.21,11078.41,9351.08,0.0285,0.0526
2020-10-01,10795.25,10933.62,10472.36,10619.45,40023134100,-0.0153,10739.56,10701.41,11059.1,9377.21,0.0281,-0.0129
2020-10-02,10619.82,10657.84,10416.69,10575.97,48661453918,-0.0041,10722.89,10709.75,11034.93,9405.02,0.0269,-0.0107
2020-10-03,10575.1,10598.94,10511.13,10549.33,44660271563,-0.0025,10694.12,10714.85,11010.54,9431.64,0.0191,-0.0187
2020-10-04,10550.44,10686.0,10534.39,10669.58,71251776995,0.0114,10679.02,10731.32,10986.62,9458.8,0.0186,-0.0095
2020-10-05,10676.53,10793.51,10634.6,10793.34,47537578009,0.0116,10690.97,10736.68,10964.63,9481.81,0.0176,0.0081
2020-10-06,10796.31,10797.58,10528.89,10604.41,42623695307,-0.0175,10656.65,10727.51,10931.63,9503.83,0.0179,-0.022
